CURSO;PERIODO;CODIGO;DEPARTAMENTO;MEDIA;SITUACAO;MATRICULA;PERIODO_INGRESSO
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;7;Aprovado;308280242;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.5;Aprovado;308280242;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;1;Reprovado;308280242;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1105167;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.2;Aprovado;308161130;2011.2
11124100;2011.2;1105169;UNID. ACAD. DE ENGENHARIA MECÂNICA;7;Aprovado;308161130;2011.2
11124100;2011.2;1105361;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.4;Aprovado;308161130;2011.2
11124100;2011.2;1105183;UNID. ACAD. DE ENGENHARIA MECÂNICA;5;Aprovado;308161130;2011.2
11124100;2011.2;1109010;UNID. ACAD. DE MATEMÁTICA;6.9;Aprovado;308161130;2011.2
11124100;2011.2;1114052;UNID. ACAD. DE ESTATÍSTICA;6.1;Aprovado;308161130;2011.2
11124100;2011.2;1411075;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.5;Aprovado;308161130;2011.2
14102100;2011.2;1305219;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.2;Aprovado;308160323;2011.2
14102100;2011.2;1411178;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160323;2011.2
14102100;2011.2;1114107;UNID. ACAD. DE ESTATÍSTICA;5.7;Aprovado;308160323;2011.2
14102100;2011.2;1411172;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.1;Aprovado;308160323;2011.2
14102100;2011.2;1411171;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308160323;2011.2
14102100;2011.2;1411179;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.2;Aprovado;308160323;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;2.3;Reprovado;308160329;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;3.7;Reprovado;308160329;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.2;Reprovado;308160329;2011.2
11124100;2011.2;1304013;UNID. ACAD. DE EDUCAÇÃO;10;Aprovado;308162012;2011.2
11124100;2011.2;1107131;UNID. ACAD. DE ENGENHARIA QUÍMICA;7.3;Aprovado;308162012;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.5;Aprovado;308162012;2011.2
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.8;Aprovado;308162012;2011.2
11124100;2011.2;1105163;UNID. ACAD. DE ENGENHARIA MECÂNICA;7;Aprovado;308162012;2011.2
11124100;2011.2;1307011;UNID. ACAD. DE LETRAS;9.1;Aprovado;308162012;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308161370;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.8;Aprovado;308162003;2011.2
11124100;2011.2;1109010;UNID. ACAD. DE MATEMÁTICA;6.5;Aprovado;308162003;2011.2
11124100;2011.2;1105025;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.7;Aprovado;308162003;2011.2
11124100;2011.2;1105188;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.3;Aprovado;308162003;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;7;Aprovado;308162003;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308161394;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.7;Aprovado;308161394;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.4;Aprovado;308161394;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308162966;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308162966;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308162966;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0.7;Reprovado;308162966;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.2;Aprovado;308162966;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.7;Aprovado;308162966;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;2.4;Reprovado;308162114;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;7.3;Aprovado;308162114;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;3.2;Reprovado;308162114;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
11124100;2011.2;1108025;UNID. ACAD. DE FÍSICA;7;Aprovado;308162837;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;8;Aprovado;308162837;2011.2
11124100;2011.2;1503048;UNID. ACAD. DE ENGENHARIA CIVIL;5.4;Aprovado;308162837;2011.2
11124100;2011.2;1105183;UNID. ACAD. DE ENGENHARIA MECÂNICA;6.2;Aprovado;308162837;2011.2
14102100;2011.2;1411185;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8;Aprovado;308162111;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.3;Aprovado;308162111;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.3;Aprovado;308162111;2011.2
14102100;2011.2;1304122;UNID. ACAD. DE EDUCAÇÃO;0;Reprovado por Falta;308162111;2011.2
14102100;2011.2;1411196;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.3;Aprovado;308162111;2011.2
11124100;2011.2;1105186;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.6;Aprovado;308162621;2011.2
11124100;2011.2;1105013;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.1;Aprovado;308162621;2011.2
11124100;2011.2;1105188;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.4;Aprovado;308162621;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.5;Aprovado;308162621;2011.2
11124100;2011.2;1108024;UNID. ACAD. DE FÍSICA;8.8;Aprovado;308162621;2011.2
11124100;2011.2;1105025;UNID. ACAD. DE ENGENHARIA MECÂNICA;8;Aprovado;308162621;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6;Aprovado;308161382;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6;Aprovado;308161382;2011.2
14102100;2011.2;1411203;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8;Aprovado;308161382;2011.2
14102100;2011.2;1411188;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.4;Aprovado;308161382;2011.2
14102100;2011.2;1411185;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.3;Aprovado;308161382;2011.2
14102100;2011.2;1411244;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.6;Aprovado;308161337;2011.2
14102100;2011.2;1411192;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308161337;2011.2
14102100;2011.2;1411190;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.9;Aprovado;308161337;2011.2
14102100;2011.2;1411188;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.4;Aprovado;308161337;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308162648;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.8;Reprovado;308162648;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado;308162648;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;7.5;Aprovado;308162648;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.8;Reprovado;308162648;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308163110;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;5.4;Aprovado;308163110;2011.2
